x,y
-10.0,-2280.1642923494383
-9.797979797979798,-2180.932537968301
-9.595959595959595,-2015.6976127549046
-9.393939393939394,-1850.9377188555875
-9.191919191919192,-1822.6495691194507
-8.98989898989899,-1711.2480150546808
-8.787878787878787,-1513.8274327978277
-8.585858585858587,-1452.211944448962
-8.383838383838384,-1416.3027699295938
-8.181818181818182,-1272.2972419980122
-7.979797979797979,-1233.4442076060182
-7.777777777777778,-1148.5608361010095
-7.575757575757576,-1032.2312683957084
-7.373737373737374,-1063.0034972782212
-7.171717171717171,-980.4516106875077
-6.96969696969697,-852.9435219110287
-6.767676767676768,-809.7523816488203
-6.565656565656566,-681.2394544068446
-6.363636363636363,-683.6543968639643
-6.161616161616162,-653.5311882781458
-5.959595959595959,-457.55887438635847
-5.757575757575758,-493.2189984007912
-5.555555555555555,-432.70726603446525
-5.353535353535354,-464.440262245696
-5.151515151515151,-380.40791102660415
-4.94949494949495,-310.3963738047297
-4.747474747474747,-338.9147787011675
-4.545454545454546,-230.5727249279456
-4.343434343434343,-249.85307725708913
-4.141414141414142,-207.24139949287118
-3.9393939393939394,-197.8507256082698
-3.737373737373738,-52.434343941875824
-3.5353535353535355,-125.08120917706773
-3.333333333333333,-158.6262871885357
-3.1313131313131315,-47.82524738926805
-2.929292929292929,-134.98484862517805
-2.7272727272727275,-50.16914181249704
-2.525252525252525,-146.84602692213545
-2.3232323232323235,-105.00362749317986
-2.121212121212121,-19.865734155009182
-1.9191919191919187,14.816334145607026
-1.717171717171718,-7.1215691312499185
-1.5151515151515156,-16.14123650302781
-1.3131313131313131,-21.06975863762569
-1.1111111111111107,-76.4843985581519
-0.9090909090909101,-35.88326977360471
-0.7070707070707076,-20.945854773812556
-0.5050505050505052,56.32818022990788
-0.30303030303030276,21.546749133513924
-0.10101010101010033,-83.28568821096927
0.10101010101010033,21.276660669535897
0.30303030303030276,-14.170912863234504
0.5050505050505052,-28.84862501017065
0.7070707070707076,35.49803675908175
0.9090909090909083,56.4823577927164
1.1111111111111107,51.714897588183035
1.3131313131313131,-36.29218537612648
1.5151515151515156,-8.875901092140545
1.7171717171717162,24.561082523399826
1.9191919191919187,58.78446547413209
2.121212121212121,-11.247161122862488
2.3232323232323235,6.926925648798724
2.525252525252524,-34.715629869920285
2.7272727272727266,-33.82610881485249
2.929292929292929,73.08441485270353
3.1313131313131315,107.93376286496436
3.333333333333334,45.473567995057415
3.5353535353535346,109.59064511515174
3.737373737373737,89.32227970283871
3.9393939393939394,52.39645960814155
4.141414141414142,117.81862573439781
4.3434343434343425,193.5304397100977
4.545454545454545,133.59938174097118
4.747474747474747,234.3661837532902
4.94949494949495,47.97024655527966
5.1515151515151505,245.05524988136506
5.353535353535353,235.59316165761416
5.555555555555555,245.9481235603829
5.757575757575758,297.6201505778952
5.9595959595959584,228.36216309259646
6.161616161616163,354.1393264809689
6.363636363636363,423.13361505192086
6.565656565656564,522.1994464447887
6.767676767676768,468.3886217279055
6.969696969696969,502.94441020790185
7.171717171717173,570.516703736012
7.373737373737374,696.877573789327
7.575757575757574,726.414320377104
7.777777777777779,745.8233752711819
7.979797979797979,863.8736398307352
8.18181818181818,912.6262290827283
8.383838383838384,1029.52882388156
8.585858585858585,1023.1792202745694
8.787878787878789,1123.0440847006098
8.98989898989899,1205.0260564590924
9.19191919191919,1240.8178823920432
9.393939393939394,1422.418641507179
9.595959595959595,1518.6401598651996
9.7979797979798,1608.2725470121445
10.0,1703.2706433312426
